Factor,Mes,Media,P05,P50,P95
TA_Jur,1,0.024531501994128974,0.021307910517526757,0.02450446684805263,0.027900057183313235
TA_Jur,2,0.02342863378523849,0.01822171065403723,0.023369466461635492,0.02901240963089361
TA_Jur,3,0.022341822845954654,0.01523492985533295,0.022386108131292517,0.03002290176437795
TA_Jur,4,0.021356613812569192,0.012350793144280031,0.021493737862217588,0.030867620945131565
TA_Jur,5,0.020527871049639195,0.009909215975434049,0.020642791257784565,0.03162170216061873
TA_Jur,6,0.019629490719332766,0.00691508723586792,0.019778627046304786,0.031951355023220065
TA_Jur,7,0.018874797022679694,0.00466973446528095,0.018697989297171168,0.03328947940504774
TA_Jur,8,0.01826627235460057,0.002452130261275483,0.018315481523174956,0.033347972149388116
TA_Jur,9,0.017757012984968235,0.0006391830745977467,0.01752696632891662,0.034755540472282014
TA_Jur,10,0.01731288914794374,0.0,0.016888705893635232,0.036389617379347136
TA_Jur,11,0.01690926051472278,0.0,0.016072610832346762,0.03714410616937346
TA_Jur,12,0.016629408904719704,0.0,0.016074249390856457,0.0371794482756314
DTF,1,0.04296840342728479,0.04053642366346972,0.042979386586944404,0.04530377485511099
DTF,2,0.041506546971141416,0.036782639967610296,0.041463318321732195,0.046078177628997526
DTF,3,0.04025179700114079,0.033004412571143185,0.04030993628205888,0.047215177615281295
DTF,4,0.03910161308962702,0.029449438578692387,0.03903248426846824,0.04872557806048486
DTF,5,0.038159029084824,0.026057734333697492,0.03824654567264997,0.05047917080794904
DTF,6,0.03728613185488556,0.022549089042669116,0.037297357013742115,0.05149708673307265
DTF,7,0.036497324523033926,0.01973780032073872,0.036539839874489145,0.0528733061901506
DTF,8,0.03580675233792554,0.017633070471138622,0.035871972028905,0.05457558476259685
DTF,9,0.035182158751287364,0.01431059027943164,0.03525587829062991,0.05578373050799855
DTF,10,0.03460097801375441,0.011262729262498062,0.03457588536294483,0.05721622067283531
DTF,11,0.03412855811384282,0.008434776365497618,0.0341201393404981,0.05831930231152128
DTF,12,0.033726293406973466,0.005949667033795198,0.033449228406830886,0.05925971193260359
IBR,1,0.03240495799569894,0.029118276210914916,0.032381819103369375,0.035553851710608396
IBR,2,0.030622058706704976,0.02457918002179667,0.03075987692471433,0.03636048719953193
IBR,3,0.02919006436154402,0.02047021474908801,0.029366913066349254,0.03795634437542447
IBR,4,0.02790138305239918,0.01623543528798562,0.028281111737708718,0.03992203144525401
IBR,5,0.026801167228782362,0.012021428199689913,0.0270708501138163,0.04134844376711303
IBR,6,0.025756721792833327,0.008813804197219005,0.025874099073112625,0.04290548753234848
IBR,7,0.024902159265390033,0.005326026453606922,0.024783088994531813,0.04420986827436994
IBR,8,0.024315071948234165,0.0025447095572054845,0.024126529952235368,0.045784260436690115
IBR,9,0.023731616280991023,0.00015487123691605763,0.023325749142569175,0.0471651630473199
IBR,10,0.02325711426986223,0.0,0.02264818869830862,0.04826989330497719
IBR,11,0.022959855061578386,0.0,0.022314075142260893,0.049052963398748387
IBR,12,0.02272312239733175,0.0,0.0217443190805848,0.05086366706845819
IPC,1,0.0370519552942726,0.032611412772601135,0.03716153013182151,0.04149690770656307
IPC,2,0.0361241493386731,0.027760676931019464,0.036173970637780745,0.044474064158527365
IPC,3,0.035252434853583335,0.023629985568253294,0.03517638898861803,0.04647964613571825
IPC,4,0.03440793513926644,0.020037418174811174,0.03440035567030153,0.0483940544650617
IPC,5,0.033609973013088615,0.016494465856407986,0.03353732720512445,0.050231337876050976
IPC,6,0.03287507283017397,0.012713588533920074,0.032977794745830985,0.05251692935153883
IPC,7,0.03222346145587376,0.01049892906427734,0.031857634777784874,0.05384236179395972
IPC,8,0.031774478166549755,0.007359908075347063,0.031769968071083315,0.05474008872015801
IPC,9,0.031574440077465474,0.005140570563361215,0.031384125172188984,0.056378258200526415
IPC,10,0.03133598274544947,0.0032304944130783415,0.031443777505387044,0.05767428378189946
IPC,11,0.031230313435257385,0.0024079966941156815,0.0313542893776953,0.05998452270858873
IPC,12,0.031012879805949554,0.0007061098052294541,0.03108226027583684,0.06071305371354627
Cuvr,1,0.09321911399268572,0.08318759048674014,0.09323111044857868,0.1033849937224717
Cuvr,2,0.09190541833445379,0.07926416997765794,0.09181926476913284,0.10436406813056809
Cuvr,3,0.09211288765960408,0.07817504306659603,0.09192823816660198,0.1065421697312266
Cuvr,4,0.0914224305806525,0.07474074244046153,0.09149874242853802,0.10680263654728694
Cuvr,5,0.09154772162934557,0.07442685421092961,0.09131531218374711,0.10958643938913497
Cuvr,6,0.09144498792426205,0.07271554967772091,0.09126865701519951,0.11098978078042901
Cuvr,7,0.09139311866288127,0.07192816589308067,0.09116246356921039,0.11165476060186529
Cuvr,8,0.09157047436497856,0.07037580365049201,0.091006221037368,0.11253420279554345
Cuvr,9,0.09126253693794383,0.06883492971725821,0.09113346099014989,0.1140497550545045
Cuvr,10,0.0910418384435343,0.06845927952506975,0.09032691391104997,0.1143809027439266
Cuvr,11,0.09083852108914502,0.06617685607685783,0.0904262543689045,0.11581524130744235
Cuvr,12,0.09085304853265662,0.06568729269231817,0.09025318029523201,0.11633497974793836
Auvr,1,0.08599671901947792,0.081030278859894,0.08592267211432524,0.09101854527727678
Auvr,2,0.08570884575743093,0.07937348502212484,0.08552947666575442,0.09238246683933603
Auvr,3,0.08526908545490346,0.07763724739554206,0.08522155276459539,0.09285717675100319
Auvr,4,0.08493858691562381,0.07616517161369617,0.08483675779268875,0.09364651455009314
Auvr,5,0.08461388050792888,0.07408668397912314,0.08484604357154521,0.09414719539460738
Auvr,6,0.08443917053131687,0.07398663921911945,0.08472506572292453,0.09527018905687891
Auvr,7,0.08415984391604502,0.07201438021067479,0.08424250803142211,0.09546274399845923
Auvr,8,0.08397379279618374,0.0713103815915294,0.0841224920041328,0.09653471839718182
Auvr,9,0.08372456087768851,0.06926569259110031,0.08378954536205996,0.09734754938782984
Auvr,10,0.08357403033418234,0.06896209984029397,0.0835962783008607,0.09752367256020336
Auvr,11,0.08345070355591543,0.06667367307180394,0.08343009181217542,0.0986455327606311
Auvr,12,0.08311179900056172,0.06596156093497778,0.0833067313178664,0.09878278825846293
